name,selection,clustering,k,count,actual_n,actual_m,actual_MDL,full_n,full_m,full_rules,full_MDL,GCD_full,CVM_full_d,CVM_full_pr,part_n,part_m,part_rules,part_MDL,GCD_part,CVM_part_d,CVM_part_pr,no_n,no_m,no_rules,no_MDL,GCD_no,CVM_no_d,CVM_no_pr
eucore,random,louvain,2.0,1.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.26899999999999996,0.0,3.282,986.0,25552.0,32.0,591575.0,0.263,0.0,3.301,986.0,25552.0,33.0,576332.0,2.2769999999999997,300.962,284.16
eucore,random,louvain,2.0,2.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.26899999999999996,0.0,3.2430000000000003,986.0,25552.0,32.0,591575.0,0.256,0.0,5.233,986.0,25552.0,33.0,576332.0,2.496,305.52099999999996,282.925
eucore,random,louvain,2.0,3.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.256,0.0,2.655,986.0,25552.0,32.0,591575.0,0.261,0.0,4.338,986.0,25552.0,33.0,576332.0,2.471,304.796,288.42
eucore,random,louvain,2.0,4.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.26,0.0,3.99,986.0,25552.0,32.0,591575.0,0.25,0.0,4.9319999999999995,986.0,25552.0,33.0,576332.0,2.454,304.58799999999997,271.04900000000004
eucore,random,louvain,2.0,5.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.256,0.0,1.735,986.0,25552.0,32.0,591575.0,0.26,0.0,2.458,986.0,25552.0,33.0,576332.0,2.544,306.443,291.268
eucore,random,louvain,2.0,6.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.249,0.0,4.894,986.0,25552.0,32.0,591575.0,0.26,0.0,5.466,986.0,25552.0,33.0,576332.0,2.451,304.952,279.238
eucore,random,louvain,2.0,7.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.24,0.0,7.127999999999999,986.0,25552.0,32.0,591575.0,0.249,0.0,3.5039999999999996,986.0,25552.0,33.0,576332.0,2.454,306.7,286.918
eucore,random,louvain,2.0,8.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.264,0.0,4.444,986.0,25552.0,32.0,591575.0,0.261,0.0,3.6489999999999996,986.0,25552.0,33.0,576332.0,2.445,306.681,288.465
eucore,random,louvain,2.0,9.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.257,0.0,2.6889999999999996,986.0,25552.0,32.0,591575.0,0.261,0.0,5.267,986.0,25552.0,33.0,576332.0,2.464,305.488,283.757
eucore,random,louvain,2.0,10.0,986.0,25552.0,1075415.0,986.0,25552.0,32.0,4363446.0,0.261,0.0,4.71,986.0,25552.0,32.0,591575.0,0.253,0.0,5.507000000000001,986.0,25552.0,33.0,576332.0,2.52,304.02099999999996,291.471
eucore,random,cond,2.0,1.0,986.0,25552.0,1075415.0,587.0,12686.0,789.0,17241828.0,0.366,46.44,275.62,985.0,25521.0,630.0,934188.0,0.41600000000000004,12.972999999999999,6.539,611.0,12645.0,703.0,941484.0,0.311,94.809,331.9
eucore,random,cond,2.0,2.0,986.0,25552.0,1075415.0,1005.0,25464.0,789.0,17241828.0,0.39299999999999996,13.352,11.966,935.0,25493.0,630.0,934188.0,0.40399999999999997,30.962,34.478,994.0,25408.0,703.0,941484.0,0.39399999999999996,101.54,89.193
eucore,random,cond,2.0,3.0,986.0,25552.0,1075415.0,1381.0,38440.0,789.0,17241828.0,0.47100000000000003,35.123000000000005,216.356,934.0,25483.0,630.0,934188.0,0.389,35.784,44.144,1366.0,38590.0,703.0,941484.0,0.465,165.673,155.778
eucore,random,cond,2.0,4.0,986.0,25552.0,1075415.0,1391.0,38475.0,789.0,17241828.0,0.483,34.63,212.457,1003.0,25566.0,630.0,934188.0,0.40399999999999997,27.677,18.791,1380.0,38644.0,703.0,941484.0,0.467,166.07,179.204
eucore,random,cond,2.0,5.0,986.0,25552.0,1075415.0,1309.0,38311.0,789.0,17241828.0,0.478,55.023,173.72,964.0,25477.0,630.0,934188.0,0.41,19.125999999999998,9.536,1269.0,38052.0,703.0,941484.0,0.47100000000000003,186.99,114.404
eucore,random,cond,2.0,6.0,986.0,25552.0,1075415.0,581.0,12583.0,789.0,17241828.0,0.3,55.75899999999999,253.299,972.0,25497.0,630.0,934188.0,0.397,14.495,13.002,579.0,12671.0,703.0,941484.0,0.278,122.92,361.686
eucore,random,cond,2.0,7.0,986.0,25552.0,1075415.0,1009.0,25494.0,789.0,17241828.0,0.414,15.898,6.582000000000001,970.0,25533.0,630.0,934188.0,0.38299999999999995,6.9110000000000005,6.776,949.0,25546.0,703.0,941484.0,0.374,126.939,105.355
eucore,random,cond,2.0,8.0,986.0,25552.0,1075415.0,1350.0,38304.0,789.0,17241828.0,0.485,38.393,194.24400000000003,973.0,25447.0,630.0,934188.0,0.39399999999999996,15.493,7.792000000000001,947.0,25472.0,703.0,941484.0,0.36200000000000004,128.657,104.52
eucore,random,cond,2.0,9.0,986.0,25552.0,1075415.0,981.0,25524.0,789.0,17241828.0,0.38799999999999996,9.344,4.895,975.0,25505.0,630.0,934188.0,0.406,20.422,15.523,1291.0,38215.0,703.0,941484.0,0.469,193.01,122.984
eucore,random,cond,2.0,10.0,986.0,25552.0,1075415.0,1012.0,25595.0,789.0,17241828.0,0.39899999999999997,13.529000000000002,20.921999999999997,965.0,25508.0,630.0,934188.0,0.41100000000000003,20.325,11.530999999999999,1340.0,38519.0,703.0,941484.0,0.46399999999999997,177.743,140.851
eucore,random,spectral,2.0,1.0,986.0,25552.0,1075415.0,1024.0,25560.0,392.0,6396023.0,0.332,38.046,33.214,993.0,25536.0,265.0,635045.0,0.319,10.673,10.115,1013.0,25569.0,265.0,617722.0,0.35100000000000003,119.115,78.307
eucore,random,spectral,2.0,2.0,986.0,25552.0,1075415.0,997.0,25556.0,392.0,6396023.0,0.359,11.032,13.479000000000001,999.0,25564.0,265.0,635045.0,0.32899999999999996,10.027000000000001,10.146,947.0,25545.0,265.0,617722.0,0.392,172.197,114.431
eucore,random,spectral,2.0,3.0,986.0,25552.0,1075415.0,956.0,25529.0,392.0,6396023.0,0.315,27.905,23.155,978.0,25582.0,265.0,635045.0,0.318,10.609000000000002,7.438,972.0,25532.0,265.0,617722.0,0.364,145.69,95.963
eucore,random,spectral,2.0,4.0,986.0,25552.0,1075415.0,1001.0,25579.0,392.0,6396023.0,0.298,12.535,16.583,1028.0,25557.0,265.0,635045.0,0.327,40.449,33.207,980.0,25535.0,265.0,617722.0,0.373,138.864,91.45299999999999
eucore,random,spectral,2.0,5.0,986.0,25552.0,1075415.0,980.0,25553.0,392.0,6396023.0,0.308,6.904,6.794,979.0,25559.0,265.0,635045.0,0.32299999999999995,8.859,9.958,984.0,25564.0,265.0,617722.0,0.37799999999999995,140.738,92.848
eucore,random,spectral,2.0,6.0,986.0,25552.0,1075415.0,962.0,25575.0,392.0,6396023.0,0.312,26.345,18.134,987.0,25530.0,265.0,635045.0,0.335,8.459,10.382,972.0,25565.0,265.0,617722.0,0.379,153.59799999999998,113.469
eucore,random,spectral,2.0,7.0,986.0,25552.0,1075415.0,1010.0,25582.0,392.0,6396023.0,0.322,19.794,18.891,1000.0,25533.0,265.0,635045.0,0.33899999999999997,19.417,15.536,1000.0,25552.0,265.0,617722.0,0.371,123.012,83.93799999999999
eucore,random,spectral,2.0,8.0,986.0,25552.0,1075415.0,962.0,25534.0,392.0,6396023.0,0.322,17.337,13.424000000000001,971.0,25567.0,265.0,635045.0,0.324,17.63,16.2,975.0,25557.0,265.0,617722.0,0.37200000000000005,150.615,99.06700000000001
eucore,random,spectral,2.0,9.0,986.0,25552.0,1075415.0,1015.0,25570.0,392.0,6396023.0,0.344,25.533,25.414,983.0,25569.0,265.0,635045.0,0.335,10.686,0.605,974.0,25551.0,265.0,617722.0,0.40299999999999997,154.672,97.09700000000001
eucore,random,spectral,2.0,10.0,986.0,25552.0,1075415.0,1005.0,25551.0,392.0,6396023.0,0.34600000000000003,16.747,13.722000000000001,990.0,25577.0,265.0,635045.0,0.314,8.032,6.742999999999999,972.0,25569.0,265.0,617722.0,0.366,154.14600000000002,103.12
eucore,random,node2vec,2.0,1.0,986.0,25552.0,1075415.0,49393.0,1298493.0,848.0,25460209.0,0.321,294.79900000000004,30935.467999999997,6.0,29.0,764.0,788930.0,5.21,277.682,660.6619999999999,11.0,42.0,726.0,761984.0,4.974,297.62,662.89
eucore,random,node2vec,2.0,2.0,986.0,25552.0,1075415.0,6.0,29.0,848.0,25460209.0,5.45,271.64599999999996,660.6619999999999,11.0,31.0,764.0,788930.0,5.445,354.014,662.98,7.0,29.0,726.0,761984.0,5.45,282.816,661.1619999999999
eucore,random,node2vec,2.0,3.0,986.0,25552.0,1075415.0,8.0,47.0,848.0,25460209.0,11.109000000000002,255.90099999999998,661.6619999999999,12.0,52.0,764.0,788930.0,4.442,284.939,663.6619999999999,8.0,54.0,726.0,761984.0,9.496,229.40900000000002,661.6619999999999
eucore,random,node2vec,2.0,4.0,986.0,25552.0,1075415.0,9.0,40.0,848.0,25460209.0,9.827,288.134,662.1619999999999,11.0,43.0,764.0,788930.0,9.161,319.613,663.071,9.0,44.0,726.0,761984.0,4.981,266.482,662.1619999999999
eucore,random,node2vec,2.0,5.0,986.0,25552.0,1075415.0,10.0,44.0,848.0,25460209.0,9.005,280.899,662.6619999999999,8.0,44.0,764.0,788930.0,9.388,268.15,661.5369999999999,6.0,42.0,726.0,761984.0,10.714,264.66700000000003,660.6619999999999
eucore,random,node2vec,2.0,6.0,986.0,25552.0,1075415.0,11.0,43.0,848.0,25460209.0,4.561,309.849,662.98,9.0,42.0,764.0,788930.0,4.906000000000001,273.404,662.1619999999999,10.0,42.0,726.0,761984.0,8.404,294.118,662.6619999999999
eucore,random,node2vec,2.0,7.0,986.0,25552.0,1075415.0,9.0,40.0,848.0,25460209.0,9.844,286.225,662.1619999999999,8.0,29.0,764.0,788930.0,4.063,314.101,661.6619999999999,5.0,41.0,726.0,761984.0,6.207000000000001,259.551,660.1619999999999
eucore,random,node2vec,2.0,8.0,986.0,25552.0,1075415.0,5.0,41.0,848.0,25460209.0,6.207000000000001,248.334,660.1619999999999,4.0,30.0,764.0,788930.0,0.614,258.5,659.1619999999999,6.0,38.0,726.0,761984.0,7.8839999999999995,266.038,660.6619999999999
eucore,random,node2vec,2.0,9.0,986.0,25552.0,1075415.0,11.0,61.0,848.0,25460209.0,8.943999999999999,264.373,663.1619999999999,8.0,43.0,764.0,788930.0,5.169,271.13,661.6619999999999,16.0,45.0,726.0,761984.0,7.191,339.89599999999996,665.6619999999999
eucore,random,node2vec,2.0,10.0,986.0,25552.0,1075415.0,6.0,44.0,848.0,25460209.0,7.8839999999999995,241.165,660.6619999999999,1848.0,50634.0,764.0,788930.0,0.32299999999999995,66.721,501.56,897.0,25261.0,726.0,761984.0,0.22699999999999998,103.44,81.387
eucore,mdl,random,2.0,1.0,986.0,25552.0,1075415.0,1015.0,25599.0,981.0,25798053.0,0.46,20.898000000000003,22.945,908.0,25523.0,715.0,1141139.0,0.46,62.035,63.989,850.0,25465.0,715.0,1120809.0,0.473,195.301,159.05
eucore,mdl,random,2.0,2.0,986.0,25552.0,1075415.0,1050.0,24644.0,981.0,25798053.0,0.48100000000000004,56.476000000000006,37.995,922.0,25502.0,715.0,1141139.0,0.45899999999999996,73.005,59.118,849.0,26405.0,715.0,1120809.0,0.44299999999999995,221.887,166.75400000000002
eucore,mdl,random,2.0,3.0,986.0,25552.0,1075415.0,987.0,26492.0,981.0,25798053.0,0.466,32.366,26.346,920.0,26433.0,715.0,1141139.0,0.433,91.37100000000001,76.72399999999999,891.0,25456.0,715.0,1120809.0,0.446,193.952,128.511
eucore,mdl,random,2.0,4.0,986.0,25552.0,1075415.0,962.0,25548.0,981.0,25798053.0,0.45799999999999996,9.257,28.049,892.0,24556.0,715.0,1141139.0,0.473,77.664,71.018,907.0,25510.0,715.0,1120809.0,0.44299999999999995,184.416,121.792
eucore,mdl,random,2.0,5.0,986.0,25552.0,1075415.0,977.0,25544.0,981.0,25798053.0,0.45299999999999996,12.198,7.265,884.0,25500.0,715.0,1141139.0,0.445,79.175,80.59100000000001,877.0,26404.0,715.0,1120809.0,0.45799999999999996,205.885,145.795
eucore,mdl,random,2.0,6.0,986.0,25552.0,1075415.0,998.0,26530.0,981.0,25798053.0,0.466,23.276,9.425,899.0,24557.0,715.0,1141139.0,0.451,76.153,65.396,908.0,24557.0,715.0,1120809.0,0.51,159.135,127.15899999999999
eucore,mdl,random,2.0,7.0,986.0,25552.0,1075415.0,979.0,25543.0,981.0,25798053.0,0.46,9.449,21.261999999999997,877.0,24540.0,715.0,1141139.0,0.452,75.867,67.82,921.0,25495.0,715.0,1120809.0,0.446,165.935,139.142
eucore,mdl,random,2.0,8.0,986.0,25552.0,1075415.0,999.0,25555.0,981.0,25798053.0,0.469,10.914000000000001,13.186,901.0,24576.0,715.0,1141139.0,0.461,59.114,56.876999999999995,873.0,25459.0,715.0,1120809.0,0.475,181.855,149.22899999999998
eucore,mdl,random,2.0,9.0,986.0,25552.0,1075415.0,965.0,24626.0,981.0,25798053.0,0.48,12.395999999999999,18.846,931.0,24571.0,715.0,1141139.0,0.49,73.757,54.583,859.0,25477.0,715.0,1120809.0,0.484,199.457,159.753
eucore,mdl,random,2.0,10.0,986.0,25552.0,1075415.0,1032.0,24647.0,981.0,25798053.0,0.475,46.825,39.784,918.0,24556.0,715.0,1141139.0,0.46799999999999997,66.193,56.012,852.0,25433.0,715.0,1120809.0,0.446,211.863,164.574
eucore,mdl,louvain,2.0,1.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.248,0.0,2.3040000000000003,986.0,25552.0,31.0,591528.0,0.245,0.0,4.196000000000001,986.0,25552.0,31.0,576280.0,2.487,304.22900000000004,278.649
eucore,mdl,louvain,2.0,2.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.253,0.0,4.708,986.0,25552.0,31.0,591528.0,0.258,0.0,6.19,986.0,25552.0,31.0,576280.0,2.548,307.98900000000003,293.397
eucore,mdl,louvain,2.0,3.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.252,0.0,2.946,986.0,25552.0,31.0,591528.0,0.261,0.0,2.4290000000000003,986.0,25552.0,31.0,576280.0,2.47,304.935,277.575
eucore,mdl,louvain,2.0,4.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.262,0.0,2.6060000000000003,986.0,25552.0,31.0,591528.0,0.276,0.0,4.92,986.0,25552.0,31.0,576280.0,2.425,304.467,280.237
eucore,mdl,louvain,2.0,5.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.262,0.0,1.869,986.0,25552.0,31.0,591528.0,0.257,0.0,1.706,986.0,25552.0,31.0,576280.0,2.444,304.776,288.018
eucore,mdl,louvain,2.0,6.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.26,0.0,3.3739999999999997,986.0,25552.0,31.0,591528.0,0.249,0.0,3.572,986.0,25552.0,31.0,576280.0,2.48,303.905,282.601
eucore,mdl,louvain,2.0,7.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.256,0.0,2.887,986.0,25552.0,31.0,591528.0,0.253,0.0,2.05,986.0,25552.0,31.0,576280.0,2.373,303.02099999999996,269.643
eucore,mdl,louvain,2.0,8.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.258,0.0,0.907,986.0,25552.0,31.0,591528.0,0.249,0.0,2.346,986.0,25552.0,31.0,576280.0,2.505,304.788,279.517
eucore,mdl,louvain,2.0,9.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.252,0.0,3.188,986.0,25552.0,31.0,591528.0,0.253,0.0,3.7710000000000004,986.0,25552.0,31.0,576280.0,2.4,303.498,280.375
eucore,mdl,louvain,2.0,10.0,986.0,25552.0,1075415.0,986.0,25552.0,31.0,4276115.0,0.267,0.0,3.9819999999999998,986.0,25552.0,31.0,591528.0,0.26899999999999996,0.0,3.266,986.0,25552.0,31.0,576280.0,2.459,303.33299999999997,273.413
eucore,mdl,cond,2.0,1.0,986.0,25552.0,1075415.0,1458.0,39960.0,959.0,20223662.0,0.45399999999999996,45.715,256.67900000000003,1439.0,41018.0,826.0,969151.0,0.457,68.45100000000001,262.309,1326.0,39649.0,825.0,945151.0,0.446,201.98,149.05100000000002
eucore,mdl,cond,2.0,2.0,986.0,25552.0,1075415.0,384.0,9844.0,959.0,20223662.0,0.359,16.015,405.931,476.0,11118.0,826.0,969151.0,0.233,40.132,353.124,902.0,25410.0,825.0,945151.0,0.424,140.434,113.387
eucore,mdl,cond,2.0,3.0,986.0,25552.0,1075415.0,903.0,24247.0,959.0,20223662.0,0.39,33.519,67.447,626.0,12662.0,826.0,969151.0,0.33799999999999997,79.082,224.468,1280.0,38344.0,825.0,945151.0,0.484,184.363,122.271
eucore,mdl,cond,2.0,4.0,986.0,25552.0,1075415.0,847.0,23942.0,959.0,20223662.0,0.402,27.76,85.149,379.0,9816.0,826.0,969151.0,0.349,14.722000000000001,421.346,457.0,10983.0,825.0,945151.0,0.235,43.388000000000005,387.67199999999997
eucore,mdl,cond,2.0,5.0,986.0,25552.0,1075415.0,1014.0,26689.0,959.0,20223662.0,0.426,11.235,9.666,480.0,11175.0,826.0,969151.0,0.243,30.573,333.903,560.0,12303.0,825.0,945151.0,0.261,67.715,323.93
eucore,mdl,cond,2.0,6.0,986.0,25552.0,1075415.0,915.0,25436.0,959.0,20223662.0,0.423,32.124,42.63,1347.0,38463.0,826.0,969151.0,0.47700000000000004,54.074,209.975,382.0,9787.0,825.0,945151.0,0.23399999999999999,87.934,467.19199999999995
eucore,mdl,cond,2.0,7.0,986.0,25552.0,1075415.0,388.0,9879.0,959.0,20223662.0,0.337,13.472999999999999,401.162,460.0,11112.0,826.0,969151.0,0.258,22.416999999999998,355.715,894.0,25328.0,825.0,945151.0,0.406,131.514,113.699
eucore,mdl,cond,2.0,8.0,986.0,25552.0,1075415.0,1553.0,41265.0,959.0,20223662.0,0.449,25.765,298.496,1007.0,26744.0,826.0,969151.0,0.42700000000000005,26.35,10.450999999999999,925.0,25490.0,825.0,945151.0,0.447,116.62799999999999,96.78299999999999
eucore,mdl,cond,2.0,9.0,986.0,25552.0,1075415.0,905.0,24332.0,959.0,20223662.0,0.43200000000000005,16.21,51.861000000000004,997.0,25647.0,826.0,969151.0,0.397,31.138,21.156999999999996,1288.0,39393.0,825.0,945151.0,0.431,193.28400000000002,133.857
eucore,mdl,cond,2.0,10.0,986.0,25552.0,1075415.0,926.0,24196.0,959.0,20223662.0,0.40700000000000003,9.325,36.861,1012.0,25661.0,826.0,969151.0,0.428,26.93,23.127,885.0,24219.0,825.0,945151.0,0.44,118.756,125.166
eucore,mdl,spectral,2.0,1.0,986.0,25552.0,1075415.0,1009.0,25552.0,335.0,6268109.0,0.332,23.322,18.172,959.0,25499.0,263.0,655606.0,0.321,21.448,16.73,1017.0,25685.0,263.0,637926.0,0.255,124.63799999999999,95.965
eucore,mdl,spectral,2.0,2.0,986.0,25552.0,1075415.0,977.0,25519.0,335.0,6268109.0,0.326,3.562,4.851,1018.0,25636.0,263.0,655606.0,0.326,26.121,27.953000000000003,946.0,25497.0,263.0,637926.0,0.266,155.095,114.25
eucore,mdl,spectral,2.0,3.0,986.0,25552.0,1075415.0,1008.0,25514.0,335.0,6268109.0,0.33,27.715999999999998,22.206,993.0,25624.0,263.0,655606.0,0.318,6.919,11.038,1004.0,25535.0,263.0,637926.0,0.273,107.866,72.733
eucore,mdl,spectral,2.0,4.0,986.0,25552.0,1075415.0,1015.0,25541.0,335.0,6268109.0,0.344,24.369,26.436999999999998,977.0,25478.0,263.0,655606.0,0.336,6.902,5.642,959.0,25493.0,263.0,637926.0,0.263,138.159,106.524
eucore,mdl,spectral,2.0,5.0,986.0,25552.0,1075415.0,981.0,25558.0,335.0,6268109.0,0.335,3.535,8.171,984.0,25536.0,263.0,655606.0,0.32899999999999996,4.687,0.833,1003.0,25529.0,263.0,637926.0,0.266,110.193,75.27600000000001
eucore,mdl,spectral,2.0,6.0,986.0,25552.0,1075415.0,1046.0,25543.0,335.0,6268109.0,0.34600000000000003,66.863,51.905,1023.0,25585.0,263.0,655606.0,0.336,34.27,24.42,957.0,25493.0,263.0,637926.0,0.249,146.892,113.646
eucore,mdl,spectral,2.0,7.0,986.0,25552.0,1075415.0,1027.0,25546.0,335.0,6268109.0,0.341,34.503,32.07,934.0,25505.0,263.0,655606.0,0.321,39.580999999999996,39.016999999999996,1034.0,25532.0,263.0,637926.0,0.282,92.15,68.564
eucore,mdl,spectral,2.0,8.0,986.0,25552.0,1075415.0,1014.0,25541.0,335.0,6268109.0,0.318,25.076,28.128,990.0,25603.0,263.0,655606.0,0.32,6.997000000000001,6.178,990.0,25590.0,263.0,637926.0,0.267,121.509,91.728
eucore,mdl,spectral,2.0,9.0,986.0,25552.0,1075415.0,1007.0,25509.0,335.0,6268109.0,0.33399999999999996,20.644000000000002,20.653000000000002,982.0,25609.0,263.0,655606.0,0.304,18.872,13.217,985.0,25523.0,263.0,637926.0,0.261,125.641,87.505
eucore,mdl,spectral,2.0,10.0,986.0,25552.0,1075415.0,1008.0,25607.0,335.0,6268109.0,0.331,9.596,14.22,951.0,25517.0,263.0,655606.0,0.311,27.725,32.518,982.0,25638.0,263.0,637926.0,0.245,143.507,92.59200000000001
eucore,mdl,node2vec,2.0,1.0,986.0,25552.0,1075415.0,4.0,31.0,922.0,26328478.0,5.567,229.925,659.6619999999999,5.0,30.0,811.0,791030.0,8.774,244.47099999999998,660.1619999999999,5.0,31.0,808.0,765988.0,8.184,252.097,660.1619999999999
eucore,mdl,node2vec,2.0,2.0,986.0,25552.0,1075415.0,6816.0,177835.0,922.0,26328478.0,0.207,22.908,4169.832,4.0,31.0,811.0,791030.0,5.567,229.925,659.6619999999999,4.0,30.0,808.0,765988.0,0.614,264.849,659.6619999999999
eucore,mdl,node2vec,2.0,3.0,986.0,25552.0,1075415.0,23699.0,606399.0,922.0,26328478.0,0.22,123.64399999999999,15013.526000000002,8.0,40.0,811.0,791030.0,10.933,256.372,661.6619999999999,4.0,30.0,808.0,765988.0,0.614,274.747,659.6619999999999
eucore,mdl,node2vec,2.0,4.0,986.0,25552.0,1075415.0,4.0,30.0,922.0,26328478.0,0.614,234.08700000000002,659.6619999999999,64.0,1761.0,811.0,791030.0,7.068,36.985,671.813,7.0,42.0,808.0,765988.0,9.993,264.774,661.1619999999999
eucore,mdl,node2vec,2.0,5.0,986.0,25552.0,1075415.0,5.0,29.0,922.0,26328478.0,5.696000000000001,248.859,660.1619999999999,5.0,29.0,811.0,791030.0,5.696000000000001,248.859,660.1619999999999,4.0,30.0,808.0,765988.0,0.614,254.801,659.6619999999999
eucore,mdl,node2vec,2.0,6.0,986.0,25552.0,1075415.0,100.0,1882.0,922.0,26328478.0,3.327,96.236,645.665,4.0,31.0,811.0,791030.0,5.567,229.925,659.6619999999999,10.0,38.0,808.0,765988.0,8.57,297.14799999999997,662.6619999999999
eucore,mdl,node2vec,2.0,7.0,986.0,25552.0,1075415.0,4.0,31.0,922.0,26328478.0,5.567,254.16400000000002,659.6619999999999,60.0,1609.0,811.0,791030.0,8.007,35.215,673.554,5.0,32.0,808.0,765988.0,8.472999999999999,262.62,660.1619999999999
eucore,mdl,node2vec,2.0,8.0,986.0,25552.0,1075415.0,1826.0,49534.0,922.0,26328478.0,0.22399999999999998,37.003,509.685,6.0,30.0,811.0,791030.0,8.215,264.059,660.6619999999999,7.0,41.0,808.0,765988.0,10.203,261.492,661.1619999999999
eucore,mdl,node2vec,2.0,9.0,986.0,25552.0,1075415.0,4.0,31.0,922.0,26328478.0,5.567,229.925,659.6619999999999,5.0,31.0,811.0,791030.0,7.934,243.9,660.1619999999999,8.0,40.0,808.0,765988.0,10.887,268.39099999999996,661.6619999999999
eucore,mdl,node2vec,2.0,10.0,986.0,25552.0,1075415.0,5.0,41.0,922.0,26328478.0,6.207000000000001,254.31599999999997,660.1619999999999,14.0,54.0,811.0,791030.0,8.804,303.34,664.5189999999999,5.0,29.0,808.0,765988.0,5.45,246.024,660.1619999999999
eucore,level,random,2.0,1.0,986.0,25552.0,1075415.0,990.0,26334.0,442.0,18137491.0,0.5,25.607,19.372,983.0,24727.0,229.0,1144486.0,0.446,37.165,24.526999999999997,991.0,25554.0,229.0,1127293.0,0.48,234.61,203.058
