name,selection,clustering,k,count,actual_n,actual_m,actual_MDL,full_n,full_m,full_rules,full_MDL,GCD_full,CVM_full_d,CVM_full_pr,part_n,part_m,part_rules,part_MDL,GCD_part,CVM_part_d,CVM_part_pr,no_n,no_m,no_rules,no_MDL,GCD_no,CVM_no_d,CVM_no_pr
eucore,random,random,2.0,1.0,986.0,25552.0,1075415.0,954.0,25554.0,878.0,24696525.0,0.456,14.117,14.404000000000002,946.0,23177.0,610.0,1143979.0,0.461,28.201,13.509,953.0,25521.0,632.0,1124160.0,0.456,166.268,127.09
eucore,random,random,2.0,2.0,986.0,25552.0,1075415.0,1000.0,25600.0,878.0,24696525.0,0.498,10.219,10.829,1058.0,27926.0,610.0,1143979.0,0.473,17.038,35.115,979.0,25552.0,632.0,1124160.0,0.452,178.002,149.24200000000002
eucore,random,random,2.0,3.0,986.0,25552.0,1075415.0,1045.0,27898.0,878.0,24696525.0,0.46799999999999997,22.595,32.256,1016.0,27888.0,610.0,1143979.0,0.483,45.638999999999996,16.672,1045.0,27896.0,632.0,1124160.0,0.49200000000000005,173.579,154.309
eucore,random,random,2.0,4.0,986.0,25552.0,1075415.0,999.0,25541.0,878.0,24696525.0,0.449,21.003,25.375999999999998,927.0,23172.0,610.0,1143979.0,0.455,23.271,31.938000000000002,945.0,25534.0,632.0,1124160.0,0.48700000000000004,168.93900000000002,114.071
eucore,random,random,2.0,5.0,986.0,25552.0,1075415.0,959.0,25550.0,878.0,24696525.0,0.467,19.232,12.972999999999999,908.0,25524.0,610.0,1143979.0,0.449,49.119,47.29600000000001,1021.0,27916.0,632.0,1124160.0,0.484,166.85299999999998,135.254
eucore,random,random,2.0,6.0,986.0,25552.0,1075415.0,957.0,23215.0,878.0,24696525.0,0.455,36.504,33.025,1049.0,27907.0,610.0,1143979.0,0.48700000000000004,19.590999999999998,34.437,906.0,23173.0,632.0,1124160.0,0.474,171.825,119.905
eucore,random,random,2.0,7.0,986.0,25552.0,1075415.0,983.0,25526.0,878.0,24696525.0,0.447,16.839000000000002,21.008000000000003,985.0,27881.0,610.0,1143979.0,0.47600000000000003,53.49100000000001,14.857000000000001,977.0,25550.0,632.0,1124160.0,0.45399999999999996,170.17,141.046
eucore,random,random,2.0,8.0,986.0,25552.0,1075415.0,958.0,23202.0,878.0,24696525.0,0.48200000000000004,22.21,27.601,980.0,27860.0,610.0,1143979.0,0.45899999999999996,44.255,10.625,925.0,25541.0,632.0,1124160.0,0.47,177.94,122.95100000000001
eucore,random,random,2.0,9.0,986.0,25552.0,1075415.0,968.0,23214.0,878.0,24696525.0,0.45799999999999996,33.233000000000004,9.427999999999999,1054.0,27934.0,610.0,1143979.0,0.484,16.659000000000002,25.368000000000002,948.0,25513.0,632.0,1124160.0,0.47200000000000003,185.273,146.247
eucore,random,random,2.0,10.0,986.0,25552.0,1075415.0,935.0,23200.0,878.0,24696525.0,0.46299999999999997,18.635,33.834,925.0,23182.0,610.0,1143979.0,0.456,18.437,24.608,1002.0,27859.0,632.0,1124160.0,0.49,166.267,123.20299999999999
